report_date,stock_code,company,fetch_status,published_wib,source,flags,title,link
2026-09-22,AMMN,Amman Mineral,ok,23 Sep 09:19 WIB,Suara.com,,"IHSG Bangkit Pada Awal Perdagangan Tapi Masih di Level 6.200, Pantau AMMN",https://news.google.com/rss/articles/CBMiugFBVV95cUxQN1I4aTVmRWMyYVZfcnJTZ2lwZVl2eEg4MmFhdS1pb293Z25kWFZiVldJNmdtY2R3UEtpa0VDN1hWTlBmODRnUDJIY0FWaXk4SlpyVUNXTzgzMy1xQkZraHM2OHJ3bTZGdzUyVkxNSVFDXzVWUktLbDFldFR1ZXJlQmdqODNwSmxPMm1JajJLUTd5ZWF6Z0pfa1F0YTRxVHJ3NUFWSGxmY3pJRl9GdjhxaG0zbGhXejVWenfSAboBQVVfeXFMTjV5aS1SUHFDbF9fUEdua3JWSEliN3NTNFJSTVhsNDhtVk1uN2lKbXdZQUZqMHdvQU13OG96bFI3VWl6VWxKZlMtdk1qRzctV0lTOU82eHJwaXByb0JQc096bENfclBsZEhpUXhpSGlqWkhsb2h0cGN2eTdwZ0Fkd1ozRGFsU3lkOW04a2xac2FCX0lvbVczNjFORHdzNnJJWEpaTEJUY1k0djk0OFJiSXc2TlVZbDhuYVpn?oc=5
2026-09-22,AMMN,Amman Mineral,ok,23 Sep 08:40 WIB,InvestorTrust,,"Reliance Sekuritas Jagokan 4 Saham Hari Ini, Ada AMMN hingga SMGR",https://news.google.com/rss/articles/CBMipgFBVV95cUxNQVRfMDRzaUZlWlBsSHZ3bVNzNXFKaGZaMkxjNVp1WWZWUkQ5MmZKY29CZmFMSnhzeDczby1VRjNhT3d2bUtjYU9LblBzUmdqdUROV1R3YS1Nam9YV055OVktRkNhcDJRU2pqUjZuWkd0WGdoRUxGOEVOSlhBU25FRmxSbHRHbTkxQlRya01QVlIweEJ2bXJvcllwSjE4MzBSSVFSMFlB?oc=5
2026-09-22,AMMN,Amman Mineral,ok,23 Sep 08:34 WIB,TopBusiness.id,,"Kecenderungan Berbalik Menguat, Analis Rekomendasikan Empat Saham Ini: AMMN, UNVR, PGEO, dan SMGR",https://news.google.com/rss/articles/CBMiywFBVV95cUxPTnhzQWFQRzd6cUhubTAyZmRjY3ZSQk9hYmtDZnFETkF3TzNzcmJIZGlWSUMxSnJWUnRtZG1CQlEtSWJVX0g4eEV6eXdDN0xnVDRrUU5POWtNdG51UllPVTZKOXptRTRlWlFVUC00RnFkZDVYTWFkOFI3bGZQOGxnWFR5cEZuSzFvYUZXeUlqalBrVVUweEp5TjFMdi1VSWNHOWR1THdqZmVTeDBhVlVaWmNFdGhUN3M5NUcyR0lXazdHa0psd3kxM1NQbw?oc=5
2026-09-22,TINS,TIMAH (Persero) Tbk.,ok,23 Sep 13:14 WIB,KabarBursa.com,,"IHSG Naik 0,64 Persen di Midday, Asing Borong MDKA-TINS, ASII Ikut Menguat",https://news.google.com/rss/articles/CBMitAFBVV95cUxNT1VTS0RqbzBkRklQbG04RTFoTzhtc2RmUUx1ZFpObjZJZ3l6VlhLa0MxMFBDcTNsZHlUQmI1cWpSVExnbFlZNTViOEI5enpqWTRuY1kyUmIzbFlkS2VUdE56R0R5VjBIQlh5d1dYUVg2TkdBOHdhdXItQXVTSHQ5czU2QjI3MFZUbl9aMTBDT2hveGQ3Z2Ixb2JCeEdndnh0RGhxaDRjQVduVGEzYzk1Q1RGZVU?oc=5
2026-09-22,TINS,TIMAH (Persero) Tbk.,ok,23 Sep 06:47 WIB,Readers.id,,IHSG Anjlok Ke Level 6277 Investor Asing Lepas Saham BBRI Dan TINS,https://news.google.com/rss/articles/CBMie0FVX3lxTFBLUDhpbEsyTVRfclhCMzA0bHhwOGpZOXV5cldMRWRDTlk0bmFDZjhjTW92LTVzT3FiNV85bnRtcWFEQ1JNLW1iQ2xTd1M0SGhhYjZrZ2pJU01fQjdLZVpyZm5fZUpOaXNyM0VnNzY1dWFOcHpmS1luS0gzTQ?oc=5
2026-09-22,TINS,TIMAH (Persero) Tbk.,ok,22 Sep 20:19 WIB,Readers.id,,"Investor Asing Jual Saham BBRI, TINS, dan BBCA di BEI",https://news.google.com/rss/articles/CBMif0FVX3lxTE5DRl9QU1NYRlEzRlZULW52TFhLX0JPSk03c1ZFYlhDT0Uzd0dRSjFaakQ1bG16T2Z3TDJIQnZnWURuRnY1YVNLMXFqUjFzdDhld1lyNjQ2NGE4NWR0TTRuNXhvWHVnLTF4LXp2SlFZRkRXZlVmSnprMTFfRmxselU?oc=5
2026-09-22,TINS,TIMAH (Persero) Tbk.,ok,22 Sep 14:57 WIB,money.kompas.com,,"Foto : Asing Net Sell Rp 351 Miliar di Sesi I, Saham TINS hingga TPIA Paling Banyak Dilepas",https://news.google.com/rss/articles/CBMixgFBVV95cUxQaU5PQk0tYWNScW83Tm92ckdYclBKWXhUNW0wQngxNDIyMUFTOUpyNUVJQlhkbTV4Q1hjZTZHZVE0UHhDLVl4NEhrcjRPbUR5ekszZHllOUFpRHJyUkFNTEFWMUtsUDF0NW56ZGI0YTNHRUtZZ3R0d2lNMTBpSzhjUUYzbjBiQkVXdGttYmtrNjZsdmlYZnBGY3FiOVJqUmlBbXlDa3VVT3FVRHNINkxRRXdNZU5aZ25uWXJKQWpERkVmczlCZ2c?oc=5
2026-09-22,TINS,TIMAH (Persero) Tbk.,ok,22 Sep 14:32 WIB,money.kompas.com,,"Foto : Asing Net Sell Rp 351 Miliar di Sesi I, Saham TINS hingga TPIA Paling Banyak Dilepas Halaman 1",https://news.google.com/rss/articles/CBMizwFBVV95cUxPY083V2xGQTlTS3I2VzVaVnVjOG42YXhUbzc2bkg0UXBFOTF1b29Wd0ZpSU5Mc0UxdWh0MzhpNHh1UVNFZW9oQWFsaHhial9wbWxDcUphRE1ubXBRSGNsTE4zanlZUlg5MkVTSkNXTE1HbVoxMzBWU29NMDlFQkJMdW82TVl5TXduZEhHODc4QUV3a09sTGRUSWZWeEVmNVdzQWNyWVJkd0JjbDZyVURfX2JDTzlRV3laemhYM1diZjBnR3c0RGpjcU0wM0kzM1E?oc=5
2026-09-22,CUAN,Petrindo Jaya Kreasi,ok,23 Sep 07:57 WIB,investor.id,,"Rekomendasi Saham Hari Ini, Rabu 23 September 2026: BIPI, RMKE, CUAN",https://news.google.com/rss/articles/CBMinwFBVV95cUxOTVI1MU9vbkl1Zk9yOV9YNG93bVZGTGtQM2RvbEJ5ZlNULWVBbXBmOHYzd3U0aFVrOE9kcW55bnI5Q2FvUU5aLTNzUVNoZ2pjQXp3UDdZMWtZRnBqVnc1YnREWHZfXzJhMkR4ZVRaV1pHNk9maWNuLUozd0U2Q09JWGtuTHctTjRnc0pLVGpIOHZfYzlCcW1VbHlBX1IzVFU?oc=5
2026-09-22,CUAN,Petrindo Jaya Kreasi,ok,23 Sep 07:53 WIB,FinansialFokus.com,earnings,"IHSG Berpotensi Uji Support 6.180, Cermati Rekomendasi CUAN hingga LABA",https://news.google.com/rss/articles/CBMirAFBVV95cUxPdE9OZFVKMFg1T1hRTjNQVm9iREM1bFNYLWU2elJxR09CWW9TWExsX0NDdnJGSVNlWVZPU2ZVRnQ4a0NJajdzN2FoTlMyb1lmRXpFemg5R0FselpPZjNzaVA1NXJTOFRnbkJmeWxRQjNtUHVod0FFXzUwaGZKQWxLbHpocVprVVRyOXBLdEJHOVlLcWlyb3RGb08zaExhR25KdkVZV0wzeUJOVERj0gGsAUFVX3lxTE90T05kVUowWDVPWFFOM1BWb2JEQzVsU1gtZTZ6UnFHT0JZb1NYTGxfQ0N2ckZJU2VZVk9TZlVGdDhrQ0lqN3M3YWhOUzJvWWZFekV6aDlHQWx6Wk9mM3NpUDU1clM4VGduQmZ5bFFCM21QdWh3QUVfNTBoZkpBbEtsemhxWmtVVHI5cEt0Qkc5WUtxaXJvdEZvTzNoTGFHbkp2RVlXTDN5Qk5URGM?oc=5
