report_date,stock_code,company,fetch_status,published_wib,source,flags,title,link
2026-09-24,BMRI,Bank Mandiri,ok,24 Sep 19:23 WIB,investor.id,,Bank Mandiri Taspen-KIW Jajaki Sinergi Bisnis Jangka Panjang,https://news.google.com/rss/articles/CBMimwFBVV95cUxPWXo5aHhmQ3MxQzdjN256dzlyVmtfblh2cS1NdjZIU0xHZWdSMlBuV3NiajQxWHFJbFpPMnlNcTRZMVVIMDBXdUJzdVo4T1hyOTg3U3BFWGtPTEw0Q2t2UXJ0X3BoUmFTNlBqT0hzSXlnaFV2OEs1R0xIY1BxaEFYQ0d0c1lvQW9DZm5fY3p6dkRYd2pzaXIzN3gtVQ?oc=5
2026-09-24,BMRI,Bank Mandiri,ok,24 Sep 19:22 WIB,Demokratis.co.id,,Penarikan SAL Rp200 Triliun Berpotensi Tekan LDR Bank Mandiri dan BNI,https://news.google.com/rss/articles/CBMibEFVX3lxTFB0QjJPMS1tVUt2aWVZNVA0Z1c0X21mYzZjaVp2ZEhKNDg0U19HZGU5RTJrQ2tkX0p5VU5XZjYwVkJla3VKQlgwRzh5TnVjX0YySWFKQTdWQ3JqUEVfbnJnY1hxTnBubEJzakJ3cw?oc=5
2026-09-24,BMRI,Bank Mandiri,ok,24 Sep 19:15 WIB,jurnalpolisi.co.id,,Anggota Polsek Batujaya Sambangi Scurity Bank Mandiri Unit Batujaya di siang hari,https://news.google.com/rss/articles/CBMisAFBVV95cUxQbEU3YkJldlRNeVVYUE9Tems4OXJSWW1paU1Qamotb1lRMHA1X29HdHRiM0o4WE5uR0lhbUhXek5JLXVFcGd1MHJvcEM4TUowRmVKUkd5bXRSVENNZms5cGhwQkw2SDdqb1NEOERacE52OXBBUEVOSUY1UlpxQkZpbmNrLTUwRVhmNEpsZGtKdzRkV3c3MXYtU2Q2Smh3YjNEWXN1OC1aazRNcnZqcjdGZQ?oc=5
2026-09-24,BMRI,Bank Mandiri,ok,24 Sep 19:00 WIB,Industry.co.id,,"Bank Mandiri Taspen - KIW Teken MoU, Bidik Peluang Bisnis Baru",https://news.google.com/rss/articles/CBMinwFBVV95cUxPekFiUVItYUNUbmRqb2tqZ0UyUGJjeGlYUnB6WkNSUXhDbHJCTDNyeFROdmtLMWc3UFJKQ2V5VzR2b3NMU2ZlOHp3eDJuYmJtclVNdThwSkpUbHpqdEhBZnp5Z0kwczdGMEMydjVUb3NfOThVREFOTmJEY2NyelVjWTY3bG1HQmlhRXcwZ3ZCRE5YaS1YWVR6b2M0T2kyLWs?oc=5
2026-09-24,BMRI,Bank Mandiri,ok,24 Sep 18:01 WIB,InvestorTrust,,"Net Sell Saham Memuncak Rp 1,49 Triliun, Saham BMRI dan BBRI Penyumbang Utama",https://news.google.com/rss/articles/CBMitgFBVV95cUxQaHpmWF9Zc2FiN0xFaFp1bXl4RG1BNnk0UF9sNVA5UzRUNkpCQjVwWDF5ZHhtdVVIWE1Vc1NJV1ZIT1pNdkgzZjRncmNVcnd1SzVvZmtrdTU5SjZBV0wzYlJSX2hFMllkLXMzdnc5UGM2dzRtdFZwb004Mjc3QW02WGtKT0h1dUlwcWQ5MGxWWjFwWmt4V21mRXRTdzY2NGVSU2xQVVVZZ1l0T001RzZQUXVUcXVaQQ?oc=5
2026-09-24,BBCA,Bank Central Asia,ok,24 Sep 13:37 WIB,Pintu,,Harga Saham BBCA Hari Ini 24 September 2026: Melemah ke Rp6.250,https://news.google.com/rss/articles/CBMiiwFBVV95cUxOMzdoemhjbkF2UXB1MXA1WlR2Q2pCdFFvTTVORW1uWm1Ta0w5OU5uQURsVmNoNU5Ka2FVcDlzT01HWVdXY2NfQU5LME9hclFRdUZGLVJkS01nOElMVDQyMlpnOG96VkdkZk5pTy1YeS16S0J3NnA3cUZZd28teVlId3ZFR1hkOXd3U2Zj?oc=5
2026-09-24,BBCA,Bank Central Asia,ok,24 Sep 10:31 WIB,Stabilitas.id,,"Kilas Stabilitas Moneter: Dampak Suku Bunga BI Tetap Terhadap Saham BMRI, BBRI, dan BBCA (24/9)",https://news.google.com/rss/articles/CBMiuAFBVV95cUxPaFQzMGlLTnU4MUNPSTdQbm5VLU9jQy1tY2RPRzhFbGJOZUNOQko5MDVxcEwwT0xtcVhjc2ZvOWFnQlBnVTB4VV8yZzY3LVVaSUdBOFlXYjR4blViUVlhMEY0RlBBQ0pqOW5UR0RFejRVd3VyMHZWRW9Rd2NyLU5ndUIyMzJyMWp1MldLYVdYb3E2R1ZmRDJESWVtUUZrMlV0amRaTjBCSnh0Yl9EZWhud0FudnNLYS03?oc=5
2026-09-24,BBCA,Bank Central Asia,ok,24 Sep 09:59 WIB,Peradaban.id,,"IHSG Menguat 1,56 Persen Didukung Saham BBCA dan DSSA pada 23 September 2026",https://news.google.com/rss/articles/CBMiXkFVX3lxTE5rYTFYYmx6RlR0UXVPQmg0Y3NzTFZVWDRCOFVZZklVWFRMbHZsWllBV1ZWTGI1NEUwNzdPNUh0c25kalFRMlpCeUpOb2JLbEhBcDZNQ0ljeGI0QmJmc1E?oc=5
2026-09-24,BBCA,Bank Central Asia,ok,24 Sep 09:35 WIB,FORTUNE Indonesia,,"Harga Saham PT Bank Central Asia Tbk (BBCA) Hari Ini, 24 September 2026",https://news.google.com/rss/articles/CBMiugFBVV95cUxNRk0xUm1xRGpiZTYwb2tGRnc2VUpGTHZjRjkzX2hTVkEwUEs3dFQyeHUyQkVJTC1IV0RLOU9VNGR0T1VNMllBY2tDQXNzX0lIMVBRbjB0QjVLRnBDa1hsX2RBTG0zWGpYNm9VMEhhZmFyQkxnd19wOC1VME9yRzBPYkpzMnA1MjJNeVVKclJDTVlrNVA3UkM0NUwzMm83d2ljdEcxaUxHQTJMbktjWGRsdkV0ekh3d3RYaXfSAb8BQVVfeXFMTjR6TGQ2bUNLb3hHaWp6bmd6a2t3WXZraDZ3LUZPWVJ5aXlTamx3UnpqaGR6LXNMU1hWbXB5UzJWUjZKTE9JRHlvTUhVUTY3ODZ0emJuX3h5TExqWENoV1o0czVnZTFISmRZSlFHQzhwZXNRWlByM2FFNnFaajkxZnFILWJCdW1faUQta2wyMDdXZ0NrODNkUHppSTlOcmlQei1zak9OSjRFd0IxQVFuN0o3a051dXZqeDd5blRZcFE?oc=5
2026-09-24,BBCA,Bank Central Asia,ok,24 Sep 08:41 WIB,Readers.id,,Saham BBCA Berpotensi Menguat ke Level Rp 6367,https://news.google.com/rss/articles/CBMidEFVX3lxTE94WGt4QXdmRTlXQUJMNGNMazR4VzByYWx0VmV0Y2RNYzd0RmVLcXJicVdIMGtYQlVNSlBpcmhIS0tFaEZ3YjBITmEtb3Y3cDJHaTdSdnIwV0h2eFU4UW5DM1ZRajlwWk53NmhZWUF2TW9wem9D?oc=5
2026-09-24,BBRI,Bank Rakyat Indonesia,ok,24 Sep 19:00 WIB,KONTAN,suspension/UMA,"Rekomendasi Teknikal Saham AADI, BBRI, dan HRTA untuk Jumat (25/9)",https://news.google.com/rss/articles/CBMilgFBVV95cUxOWXlYREpJam1iRkJPWUF4VF9qdnVwNlJURUFQdC1qYnZKeS12Uklhb29leDMyZ1oxR1Vlc2oxRGI2Q0UwRDdoNTNtU0JMd1hvNWJxUUItcHpmUldzWXJBNkF0TUtPVF84UHdPbWpQUmRWS3ZaU3pMNl9icC0zSldxaHRCdzRiRmZIU0pLVjQ2cDMzUzgyUGfSAZYBQVVfeXFMTll5WERKSWptYkZCT1lBeFRfanZ1cDZSVEVBUHQtamJ2SnktdlJJYW9vZXgzMmdaMUdVZXNqMURiNkNFMEQ3aDUzbVNCTHdYbzVicVFCLXB6ZlJXc1lyQTZBdE1LT1RfOFB3T21qUFJkVkt2WlN6TDZfYnAtM0pXcWh0Qnc0YkZmSFNKS1Y0NnAzM1M4MlBn?oc=5
2026-09-24,BBRI,Bank Rakyat Indonesia,ok,24 Sep 18:12 WIB,Pikiran Rakyat NTT,,"BRI Raih KESGI Award 2026, Konsisten Dorong Inklusi dan Pemberdayaan - Pikiran Rakyat NTT",https://news.google.com/rss/articles/CBMixAFBVV95cUxOTlBqTXVhZWl4YlpxcGw1RFFwVHlZN0pBb2xuMklwZWlOcmpEVXBvWEdwUjMzU0hhMGhTWjZxVk43TW5IRkE2WGhEYWI1cXg0UTc5ZmVVUDJWeDAtZ3RIYnYyVkVUcVdoN3ZPNFJNWHBNdkcyRjBNZHY3TmVSU2ZLMnJTV0txZ2J6WXVYUUFnWEIwRHR6V3BQaUlzRW9rZldnVEJ4Y250ZzY0SExRSTJmR2FhSWJDVmJtUmVqY0h2ZWxiZmcw0gHEAUFVX3lxTE5OUGpNdWFlaXhiWnFwbDVEUXBUeVk3SkFvbG4ySXBlaU5yakRVcG9YR3BSMzNTSGEwaFNaNnFWTjdNbkhGQTZYaERhYjVxeDRRNzlmZVVQMlZ4MC1ndEhidjJWRVRxV2g3dk80Uk1YcE12RzJGME1kdjdOZVJTZksyclNXS3FnYnpZdVhRQWdYQjBEdHpXcFBpSXNFb2tmV2dUQnhjbnRnNjRITFFJMmZHYWFJYkNWYm1SZWpjSHZlbGJmZzA?oc=5
2026-09-24,BBRI,Bank Rakyat Indonesia,ok,24 Sep 18:01 WIB,InvestorTrust,,"Net Sell Saham Memuncak Rp 1,49 Triliun, Saham BMRI dan BBRI Penyumbang Utama",https://news.google.com/rss/articles/CBMitgFBVV95cUxQaHpmWF9Zc2FiN0xFaFp1bXl4RG1BNnk0UF9sNVA5UzRUNkpCQjVwWDF5ZHhtdVVIWE1Vc1NJV1ZIT1pNdkgzZjRncmNVcnd1SzVvZmtrdTU5SjZBV0wzYlJSX2hFMllkLXMzdnc5UGM2dzRtdFZwb004Mjc3QW02WGtKT0h1dUlwcWQ5MGxWWjFwWmt4V21mRXRTdzY2NGVSU2xQVVVZZ1l0T001RzZQUXVUcXVaQQ?oc=5
2026-09-24,BBRI,Bank Rakyat Indonesia,ok,24 Sep 16:16 WIB,Kompasiana.com,"earnings, capex/expansion","Fokus Ekspansi Ultra Mikro, Laba Bersih BBRI Tumbuh 17,5% di Semester I 202",https://news.google.com/rss/articles/CBMi3AFBVV95cUxQNzF4TXdrZkt6emJkSTZNaV9nTG9RekNDSnBPY1l2Q3VYd19ZNEdmOTdNR2V4bzQxalk0TTA1bEFXUkJJWmxYakJUMFpONU5Xck95c3JUN2Jmb2loU1UzcFRoQ0dGckI4TDNLa1AwNm95d2hObEJZWVdVSVZhQ0NJYlJmQTB0aWpTc0l1YS01YlpGbmNXNVcwYWpNdGJTakhJVTQ2NnBkQTM1R1lrQ2E0QTJSM3Y1TFBHeWVWdS14N1NzNnN0dG5sRmNfcF8wdThydkVrUTVDVlZkQ1Vp?oc=5
2026-09-24,BBRI,Bank Rakyat Indonesia,ok,24 Sep 14:20 WIB,Pintu,,Harga Saham BBRI Hari Ini 24 September 2026: Melemah ke Rp3.180,https://news.google.com/rss/articles/CBMigAFBVV95cUxNeWtFTWVCc052WFFCMXhESm1Za0cweXU2UmZmeWVJYWxjVmFON2dqRDJwaTVCbkJOdHJPUWVQRnpHYllCbUwzXzhQeV9XR2pxY3RVSkpoUTV3UjIzX0w1M1c3dFB0azFvdW05X0xDcTlBRlhLTnFpNTBjOGlfZVlfYg?oc=5
