report_date,stock_code,company,fetch_status,published_wib,source,flags,title,link
2026-09-25,BBCA,Bank Central Asia,ok,25 Sep 22:14 WIB,Inilah.com,M&A,BCA Tegaskan Rumor Akuisisi Saham oleh Haji Isam tidak Benar,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPeXc1T25KVnZsQW1aWHhOS2Q1aXd3bml0NDRkOWd5ZFZfRU1mSGM5ZE5feHRaLUZjZHhsN2Rpb0ZqQXh6T0hvRVozUmtoSFEyR0FLSlh3ZE0zTVRrMk9uQkZrZlNrV2FzYXpoZzZPYU9QdkE0NnhCM2lUdkFRSzRzOHhiaXJvT2J1YVhN?oc=5
2026-09-25,BBCA,Bank Central Asia,ok,25 Sep 21:35 WIB,Langit7.id,M&A,BCA Bantah Rumor Haji Isam Akuisisi Saham BBCA: Itu Tidak Benar!,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOVm85Xy1paE9jQTlJUjdXRzFUNEFsVzF0NmtrOGlVcU9lc2hWTk82WUFObHRoRlQ2R0dWWjZFRXpzZ29RbEl2RkpreWh2cFBFTFdUbUVGaTl4OE9yU1ZtYnpTbVp5ZzlCRk1UOTBGYms4aGtMSkduY3E4amhFYS1yVTI5NTdBWEhOLVAtSFBjR3pkRHhHTm9jeVZhX3ZzNkI0UGU3ME5PVljSAa8BQVVfeXFMT3hjWDlRazFPMFViZlBvb2V6RUp0RkxSOGFvbmdIZ2ZURzk0MXRCeWtpQm9oWWJWTTVTbmNqR0xfWnhjdlg4dURzdXhnMWh5eEtQcmRhRnVSZXZZUXpvRFZZTUpROXdaeHI5LTM1bDdfLWlVWmVoMWlSV2Rwb0hNeVExMkJ1ekxHOVd3RFJ3NThQem03OG1BMGJJV0k2RzhKYzNEYTAzV244d0wweEljQQ?oc=5
2026-09-25,BBCA,Bank Central Asia,ok,25 Sep 21:06 WIB,mistar.id,M&A,BCA Bantah Isu Haji Isam Bakal Akuisisi Saham BBCA,https://news.google.com/rss/articles/CBMiiAFBVV95cUxQcjFScWRLZ3U2Rjl2Nk1RelBUYW9BbE9MQWxhZmJyZ3JOYjFTQlBGWTVnSURERnYzUmdyNmFiMTV1b25xR2xVM3RLNWFwWmd1T1VXS1g3T0lvaXdfbjZaZ3kwdFZyOWpBYzF0MVhnRUhXSFBuTXRxUWlXc2FaZW85V0dpZG1KSlZt?oc=5
2026-09-25,BBCA,Bank Central Asia,ok,25 Sep 21:00 WIB,Suara Surabaya,M&A,BCA Tepis Kabar Haji Isam akan Akuisisi Saham,https://news.google.com/rss/articles/CBMioAFBVV95cUxOa1FrZVFDSy1YaVZjczJxMGVDZlUxWHdSLXIzSFRaRnZDd0lQWHp3TmZtMlo5MWNCNmQzYkFpXzVLblJHeGV6V2lLc1RvYTcydVhremcxLTN4RzlWQVFUYU5kRHpBaVg2b00yVUlHcGdOc0x0ejU3RU5nYnl1OF92RGtKU2lpWnRKcjBrYXBTc2VzRFlqOEhPMUtFb1ppQW1i0gGgAUFVX3lxTE5rUWtlUUNLLVhpVmNzMnEwZUNmVTFYd1ItcjNIVFpGdkN3SVBYendOZm0yWjkxY0I2ZDNiQWlfNUtuUkd4ZXpXaUtzVG9hNzJ1WGt6ZzEtM3hHOVZBUVRhTmREekFpWDZvTTJVSUdwZ05zTHR6NTdFTmdieXU4X3ZEa0pTaWladEpyMGthcFNzZXNEWWo4SE8xS0VvWmlBbWI?oc=5
2026-09-25,BBCA,Bank Central Asia,ok,25 Sep 20:51 WIB,Jawa Pos,M&A,BCA Buka Suara soal Rumor Akuisisi Saham oleh Haji Isam: Informasi Tidak Benar,https://news.google.com/rss/articles/CBMixAFBVV95cUxON0dFRHdNWXRIVzBFZ1pGOGhkbnVtRElncFZQZ0RfVU1fQkpYRFFvZWljdG5NVWFwaWgzd2loZ2VKZTdJaEI2aWV2b3NqZmZVU001SHc0bHc4U0VnV2J6dEJrNGM2b3RFSTV3NER2WXRJYXd5MnFLY2dvM3p0MVVZRXVEdXpCeWJhdGJXei1uZU9RNWRYRlZrejhnVGY4UVFiVGt0anpCMDlRMmRQRlBMUENZa2hDRXlMV3BWWngzQUphMkhL?oc=5
2026-09-25,TLKM,Telkom Indonesia,ok,25 Sep 19:43 WIB,JPNN.com,,"Hadir di FEKDI x IFSE 2026, Telkom Solution Dukung Ekosistem Keuangan Digital RI",https://news.google.com/rss/articles/CBMiqwFBVV95cUxNVkcxS082dlNPd3Y2YTJ5QzVOSzA2azhIMi1TVmpXSmdOV2F3OFhwcUNlX3kxanJpTDNwTV96M2RmMkdDeWpJRjQwUGI3X2FZb0paLTgteFh6SkVoOXlaNDNTdTRENGR5eHhCel9PVmJxWkFEcE5uck1RSEpWeVU1SVNVdFluYlBIOTd2VmFRbVdxbThmaWxPVVNSSU5NdkxHRE5tS3VYT3JZU3PSAasBQVVfeXFMTVZHMUtPNnZTT3d2NmEyeUM1TkswNms4SDItU1ZqV0pnTldhdzhYcHFDZV95MWpyaUwzcE1fejNkZjJHQ3lqSUY0MFBiN19hWW9KWi04LXhYekpFaDl5WjQzU3U0RDRkeXh4QnpfT1ZicVpBRHBObnJNUUhKVnlVNUlTVXRZbmJQSDk3dlZhUW1XcW04ZmlsT1VTUklOTXZMR0RObUt1WE9yWVNz?oc=5
2026-09-25,TLKM,Telkom Indonesia,ok,25 Sep 16:59 WIB,Harian Terbit,,"Hadir di FEKDI x IFSE 2026, Telkom Solution Dukung Ekosistem Ekonomi dan Keuangan Digital Indonesia - Harian Terbit",https://news.google.com/rss/articles/CBMi5gFBVV95cUxPM0VwcEdvalg2RHFLaDVPYW11WHM5RFpGUzVSZnpqUWxVQUtybjJSYjlYZlZva0tFMGdwNmdvY2VSRzNUT09kQ2I2VHlGTndGLU1QSHhTZzRIQm95dzBYeW5HV0JSeVhuTDNTSkgtbldJLUhuUnN0a3MwS2Q2U0c3U1cwTmNqb0sxTmNVSFJCaG9kLTRFWUhMRThic2RCZmhmZDJqRUhoUVFrT0RFRTdGQml1bmxwVHpXeDA4M3FQWEpsNE92V0JWOE9oemZWNzhTRmV4MDJmZ0ZaQ1hmMlZKU3F3OEpoUdIB5gFBVV95cUxPM0VwcEdvalg2RHFLaDVPYW11WHM5RFpGUzVSZnpqUWxVQUtybjJSYjlYZlZva0tFMGdwNmdvY2VSRzNUT09kQ2I2VHlGTndGLU1QSHhTZzRIQm95dzBYeW5HV0JSeVhuTDNTSkgtbldJLUhuUnN0a3MwS2Q2U0c3U1cwTmNqb0sxTmNVSFJCaG9kLTRFWUhMRThic2RCZmhmZDJqRUhoUVFrT0RFRTdGQml1bmxwVHpXeDA4M3FQWEpsNE92V0JWOE9oemZWNzhTRmV4MDJmZ0ZaQ1hmMlZKU3F3OEpoUQ?oc=5
2026-09-25,TLKM,Telkom Indonesia,ok,25 Sep 16:59 WIB,internationalmedia.id,,Telkom Solution Perkuat Ekosistem Ekonomi dan Keuangan Digital Indonesia,https://news.google.com/rss/articles/CBMihwFBVV95cUxPOHpHamY4SWxNTUZCX0ZZbVE1SnpKamVEUUozTThLTGNHbUNSSklNY0QxRk9vVE5pVGN6YlUzSk5MQWEwa2JsdUQwanlpcjJXUlR5X2Y1TFg0U19nS3lvZDhqWmFETzFoRWtveW9hUUFaSEpFVjNIbDNSTzlmTnd0czEzVUxKY2c?oc=5
2026-09-25,TLKM,Telkom Indonesia,ok,25 Sep 16:47 WIB,monitorindonesia.com,,"Hadir di FEKDI x IFSE 2026, Telkom Solution Perkuat Ekosistem Keuangan Digital",https://news.google.com/rss/articles/CBMizwFBVV95cUxPbU50alJUWG5Rc044blYzdzQ2SDllVW9zTjBpaDJxVG9qdWJiZnVUZlZYem1Tb1NQZlNPRG5sUWo5RWVDRXlIN29iV0JMVFBHSkUtYnNJS2U1dFg2R1ZWUU1BeVNoTnY1WmsyeExLcHhWcEYxMFhHUm45d2VuazA4N1o2ZEJtSzJqSnk0Y3BwQnJFdDcxOXVVX2IxUFdyZGlKam92WXdEZjN2OEVHd2prNjdXUFpKb3lMYjlsZktTaV9OV2JEWVRzR2NqWVVrTXM?oc=5
2026-09-25,TLKM,Telkom Indonesia,ok,25 Sep 16:30 WIB,Koran Jakarta ®,,Telkom dan Danantara Perkuat Ekosistem Keuangan Digital Indonesia,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOb2lDTnRIWGROMjVsUU83RmVzY2kwdmhtc1d5SGlnQWJzWGlTYmNUUDBoYVJZcFVQYmlMdDNJc1ZqaTM3U0E1NmptTTZKWVczb0NZZ2lVTUtVQ1lFLVk0bW12ZVNSOXhLR0hxMEhvOXNiRVFobjN3NDFvTjJ2WDg3ZHB3VFExaVdNcmVhYUQxemM3QTFoaktBY3VhU05GQllOci1HbDI5QjR4d9IBqgFBVV95cUxOb2lDTnRIWGROMjVsUU83RmVzY2kwdmhtc1d5SGlnQWJzWGlTYmNUUDBoYVJZcFVQYmlMdDNJc1ZqaTM3U0E1NmptTTZKWVczb0NZZ2lVTUtVQ1lFLVk0bW12ZVNSOXhLR0hxMEhvOXNiRVFobjN3NDFvTjJ2WDg3ZHB3VFExaVdNcmVhYUQxemM3QTFoaktBY3VhU05GQllOci1HbDI5QjR4dw?oc=5
