date,rank,rank_change,previous_rank_date,stock_code,company,transaction_value,value_source,volume,avg_value_20d,ohlcv_date,close,return_1d,return_3d,return_5d,ma20,ma50,ma20_rising,recent_swing_low_5d,corporate_action_in_window,rsi14,atr14,atr_pct,volume_vs_20d,support_prior_20d,resistance_prior_20d,trend,setup,entry,stop,resistance_target,target,distance_to_entry,risk_per_share,risk_pct_of_entry,reward_to_risk,reward_to_resistance,setup_status,foreign_buy_1d_shares,foreign_sell_1d_shares,foreign_net_1d_shares,foreign_net_1d_idr,foreign_net_3d_idr,foreign_net_5d_idr,foreign_turnover_3d_idr,foreign_sessions_5d,foreign_unit_1d,value_vs_20d_avg,foreign_net_pct_turnover,foreign_net_pct_turnover_3d,activity_signal,foreign_signal,flow_check
2026-09-25,1,1,2026-09-24,BBCA,Bank Central Asia,559046250000,yfinance estimate (raw close x volume),89447400,792519135875.0,2026-09-25,6250.0,0.004016064257028162,0.008064516129032251,-0.007936507936507908,6443.75,6400.0,False,6175.0,False,43.59909712094967,128.37533967358905,0.02054005434777425,0.7281571240238228,6175.0,6850.0,Mixed,No long setup (uptrend regime not confirmed),6450,6100,6850,7150,0.03200000000000003,350,0.05426356589147287,,,Watch only,,,,,,,,2,,0.7054041028079043,,,Normal activity,Unavailable,No trigger
2026-09-25,2,4,2026-09-24,TLKM,Telkom Indonesia,409823874000,yfinance estimate (raw close x volume),170051400,300473345250.0,2026-09-25,2410.0,0.0,-0.02429149797570851,-0.05859375,2579.5,2615.4,False,2380.0,False,30.29570702781568,57.88053273804968,0.02401681856350609,1.4575829496513166,2380.0,2720.0,Bearish,No long setup (downtrend),2580,2350,2720,3040,0.0705394190871369,230,0.08914728682170543,,,Watch only,,,,,,,,2,,1.36392755124092,,,High activity,Unavailable,No trigger
2026-09-25,3,-2,2026-09-24,BMRI,Bank Mandiri,287828496000,yfinance estimate (raw close x volume),70546200,602186682650.0,2026-09-25,4080.0,0.002457002457002533,-0.019230769230769273,-0.04225352112676062,4304.0,4252.4,False,4070.0,False,38.137462836645,83.346290674109,0.020428012420124753,0.5050574328842388,4070.0,4480.0,Mixed,No long setup (uptrend regime not confirmed),4310,4020,4480,4890,0.056372549019607865,290,0.06728538283062645,,,Watch only,,,,,,,,2,,0.47797220412343505,,,Normal activity,Unavailable,No trigger
2026-09-25,4,0,2026-09-24,BUMI,Bumi Resources,280317947000,yfinance estimate (raw close x volume),1540208500,680680292785.0,2026-09-25,182.0,-0.01621621621621616,-0.010869565217391353,-0.05699481865284972,203.05,187.58,False,181.0,False,40.19748452676871,9.740163425398581,0.05351738145823396,0.46474844208933774,182.0,232.0,Mixed,No long setup (uptrend regime not confirmed),204,176,232,260,0.1208791208791209,28,0.13725490196078433,,,Watch only,,,,,,,,2,,0.41182027740671107,,,Normal activity,Unavailable,No trigger
2026-09-25,5,-2,2026-09-24,BBRI,Bank Rakyat Indonesia,274821120000,yfinance estimate (raw close x volume),87244800,652702132300.0,2026-09-25,3150.0,0.0031847133757962887,-0.009433962264150941,-0.048338368580060465,3313.0,3165.8,True,3110.0,False,41.859608589739146,73.98197438366043,0.023486341074177915,0.4433781841120124,3140.0,3440.0,Mixed,No long setup (uptrend regime not confirmed),3320,3070,3440,3820,0.053968253968254,250,0.07530120481927711,,,Watch only,,,,,,,,2,,0.4210513592648792,,,Normal activity,Unavailable,No trigger
2026-09-25,6,2,2026-09-24,ANTM,Aneka Tambang,218167443000,yfinance estimate (raw close x volume),67544100,366947741900.0,2026-09-25,3230.0,-0.012232415902140636,0.018927444794952786,-0.03293413173652693,3193.5,3108.2,True,3140.0,False,53.03758833169821,107.73675008945663,0.033355030987447874,0.5895986498888285,3020.0,3370.0,Bullish,No setup (insufficient room to resistance),3230,3080,3370,3530,0.0,150,0.04643962848297214,,,Watch only,,,,,,,,2,,0.5945463565748134,,,Normal activity,Unavailable,No trigger
2026-09-25,7,0,2026-09-24,CUAN,Petrindo Jaya Kreasi,176411125000,yfinance estimate (raw close x volume),188675000,430040908075.0,2026-09-25,935.0,-0.005319148936170248,-0.015789473684210575,0.0108108108108107,928.0,813.9,True,900.0,False,57.72895103966502,51.68563080458018,0.05527874952361517,0.4092993240286351,795.0,1040.0,Bullish,Pullback long (test MA20 from above),935,870,1040,1065,0.0,65,0.06951871657754011,2.0,1.6153846153846154,At trigger,,,,,,,,2,,0.41021940398571,,,Normal activity,Unavailable,Flow unavailable
2026-09-25,8,New,2026-09-24,ASII,Astra International,144979625000,yfinance estimate (raw close x volume),30912500,215513600150.0,2026-09-25,4690.0,-0.016771488469601636,-0.01882845188284521,-0.026970954356846488,4861.5,4905.0,False,4670.0,False,38.53594696877984,99.49200786291591,0.02121364773196501,0.6992280951601654,4750.0,5050.0,Bearish,No long setup (downtrend),4870,4620,5050,5350,0.03837953091684443,250,0.0513347022587269,,,Watch only,,,,,,,,2,,0.672716825755277,,,Normal activity,Unavailable,No trigger
2026-09-25,9,New,2026-09-24,BBNI,Bank Negara Indonesia,139143550000,yfinance estimate (raw close x volume),39755300,150549279950.0,2026-09-25,3500.0,-0.005681818181818232,-0.019607843137254943,-0.04109589041095896,3761.0,3667.2,False,3470.0,False,34.63009820445926,86.6643302733219,0.02476123722094911,0.9984924146669656,3510.0,4000.0,Mixed,No setup (below 20-session support),3510,3420,4000,3690,0.0028571428571428914,90,0.02564102564102564,,,Watch only,,,,,,,,2,,0.9242392261604437,,,Normal activity,Unavailable,No trigger
2026-09-25,10,-5,2026-09-24,AMMN,Amman Mineral,110567416000,yfinance estimate (raw close x volume),23425300,410455330700.0,2026-09-25,4720.0,-0.0021141649048626032,0.002123142250530785,0.008547008547008517,4700.5,4418.2,True,4640.0,False,53.02279211094927,193.40584940562968,0.04097581555204018,0.2728440009215428,4270.0,5275.0,Bullish,Pullback long (test MA20 from above),4720,4540,5275,5075,0.0,180,0.038135593220338986,1.9722222222222223,3.0833333333333335,At trigger,,,,,,,,2,,0.2693774638312914,,,Normal activity,Unavailable,Flow unavailable
