report_date,stock_code,company,fetch_status,published_wib,source,flags,title,link
2026-09-21,ANTM,Aneka Tambang,ok,22 Sep 11:37 WIB,Kompas.com,guidance/target,"Foto : Asing Akumulasi Saham ANTM Rp 857 Miliar, Simak Target Harga Rp 3.490 Halaman 1",https://news.google.com/rss/articles/CBMixAFBVV95cUxPTVRCVWJKazU3UnFBRGRVRWtPT1pHM01IenpZMDQ4eks2d2pCZ3VVVFJENmhfUXFNdUFhaE1ITnhORU0xV21qWWpRdzN2SEtYS2FZdXYweWVVbVQzRHlsbF9iQ25obDQxTUFTYTNTV1pnTTFDaUxzYjBWVjFyODlpTUhOZGtQaG0zLXBtODlOT0dGckdzcDh5enZsQV8wdzYyMkNrNHVEQk90RmxLc3Y5bWF3d2hVTzVDZDh5M1pfVE5BaGox?oc=5
2026-09-21,ANTM,Aneka Tambang,ok,22 Sep 11:05 WIB,Pintu,,Harga Saham ANTM Hari Ini 22 September 2026: Melemah ke Rp3.230,https://news.google.com/rss/articles/CBMigAFBVV95cUxPRlFzaTRnWVdUYm5HUzExckZaS1dtTUVJZkxsR0V2MFZReHNBQ2lCZDFiR1lnaHVhcjl5NXBYbjMxMk1YWE96QXQxbHlwb0F0ck5kVHJiTjFyM2E0RUtxdGJmNmNiS0RwVVBDSmRMTy1RdXg1RUFMVGhPV09CbC1TMA?oc=5
2026-09-21,ANTM,Aneka Tambang,ok,22 Sep 10:48 WIB,ntvnews.id,,"Harga Emas Antam Hari Ini Turun Tipis ke Level Rp2,62 Juta per Gram",https://news.google.com/rss/articles/CBMiqgFBVV95cUxNVWItMzdrT1hQNTdGN1NOSC1mOFl2Y2lvTVVfOU1CbGRDUXRCQzNqVlpIbWhUUW1NZnFibzZXTnU3SFNpTkpZNW5ROHdQMUJjbVdqeVVfRW9rbWlUWm9hWDZ3YlA0bWU4NzBYS0Z1YTUyWXJpWEYyeDdnM0p5MHhiN1dvODZyeXlzNWJsVDYtSnlLOE5JMG1hNnB4QkY3ZHFYOWJ5TW1jQ21LQQ?oc=5
2026-09-21,ANTM,Aneka Tambang,ok,22 Sep 10:38 WIB,Portal Purwokerto,,"Harga Emas Pegadaian 21-22 September 2026: Antam 1 Gram Rp2,668 Juta, 5 Gram Rp13,109 Juta - Portal Purwokerto",https://news.google.com/rss/articles/CBMi6AFBVV95cUxQSURObm1pdVFRRWI3LU0xdk4wak1wVzlOQmJaN3ZwNlROOU9ZMWJKWEFYcTlkcEtnekk0UnVDbmM2cHc2RWxsX1JGOHFGdjlrcXhTRlFwbFZxN244RkFFd0hVYU5DWW1OZkU5YXJnbGtqdHRTNC1nODZaenRQZjJ0bl80NFlyZWpJVGJFbjlQVzZKZXR4b1dOcWxtRUJYME5tcENsTHJycVB1MlFESXVpZ25nMFl0ZzVUY09yeW5yZTJ2WVo0UlJoRjRWS3prR0RvY1dqeEd3dTJxSEFhQXFWdHVHUm5aZURL0gHuAUFVX3lxTE5lb05XWmZ5UllDY1lWOUNjT3RSWkhBM3lwMWVYdEFZOHpOX29zY0xCRHU1NHVEQlkwdW5NRV8wOGdPMDZjSWpjWWRkZzhOMllfUlRTN25SRTVncTNDYW8zV0FDRXFsbUVUZnVHMlZFT0VzTEkxYXRXcnBPbVVvaC1ESHJRbzNlV1pBa015WFI0UzdwX1RxLWN2U04zd0ZPeldHZ2g5d0NuNm1PUFVENVVmN2drNGo1OWwzYTNnVHkwM3ZiWmtUQzdicTc5QVc3OHMtaHQ1d1lFZlRtbi1mQU9LTXp4V3ktb3F4RUtBM2c?oc=5
2026-09-21,ANTM,Aneka Tambang,ok,22 Sep 10:32 WIB,Kompas.com,guidance/target,"Asing Akumulasi Saham ANTM Rp 857 Miliar, Simak Target Harga Rp 3.490",https://news.google.com/rss/articles/CBMiugFBVV95cUxPNEo2MGpQbHB2dlhLVmpYSjdoUjhyUGw1eThPbE9QdXQyakN3c3VQUWU0ckdrdnpySGZGck14UXdJc3hpc3lySmRnVlFZMGVUSXpCcGZOOG5jS1Z1WkZFTWFKZm9FTDMxUHNhdTRlUXRvR29tMVB0WlVZUUtoWi1UbWxLZkFNUVMzNmVmX2NpX00zRS14RVJjeF9CelltWkxqZkNaaHdlTzlHdDJMSXRiNGp1UVRBams5VlE?oc=5
2026-09-21,BUMI,Bumi Resources,ok,22 Sep 09:45 WIB,FORTUNE Indonesia,,"Harga Saham PT Bumi Resources Tbk (BUMI) Hari Ini, 22 September 2026",https://news.google.com/rss/articles/CBMitgFBVV95cUxQcTVUNWEzdWhReFlDbVc5eHRVRUNxOVVkQlFZNi1ES0N3NjY3SC03bXY5d2prNEhUS2QxcG5tVFlYZ3VKQ0sxU3RxRTdPdkUzRUJ3QlNNQlNQQjg1dVJybzRCT2lYd2Z6VHFhSnNDNDBkSGdheEFOY2c0NTdQZzh0Z2k4SUNVUm5zaDBXcTBJbUo1cV9jMFQzUEN1bWtMRFdEenF0ODhjVW9pekNLV1ZzZTBjTkh4d9IBuwFBVV95cUxPdTNFVTFPX1ZnQ3pCdFlMcTh1MDFyZzJqRmdmTURzTlgxQ1JJdFZJWVUxVHBPem5ITXIwQ0tXMl9LallZX2ZxZF8xVjVwVzI2X3hiTHhPUm14NmdnYlZEQUNsVTJ0YmdKNUQ5TzY2dm5oQk80NEI1MGdFREZKTGlkeVNBT2Z6STc1UngyNXlxbnp2cW8xRTlTUjluVGR2aGZsNWs3b0c4Tk9YNFhWd1ZNVkw4NmFuWnQ3UGJF?oc=5
2026-09-21,BUMI,Bumi Resources,ok,22 Sep 09:28 WIB,Suara.com,,"Asing Mulai Borong Lagi, Saham BUMI Siap Rebound ke Level Ini?",https://news.google.com/rss/articles/CBMiqwFBVV95cUxOZ0FoUTVNUFpQWE9NYVFZNVBsLVo0eFRVWGd4MGFVdVpONmNwVkVsd1RzazlOTnMtNFpmSFZRZ0JONVVkTUJyM2g1bFR0TFFyeVJVYS1yYWtxZjNHT3JHWXczUXZoekgyNUxWbUd1eTVsWm04dzltQmhPZEdwekZKQjQtNjN6VDJ1bWhuWnlUN1l5TmwwMC14d0JFZ3FkNS1ORFJERHBOLW9KTUHSAasBQVVfeXFMUGdoQVlQclZHei1HSW5IODY3V29zb0hxVGJPR1JVakVuWmZKM0h0akpJck5SN1o1MnE5WmxTbHloLTVmbVZJTUsyMEZmeHk2TWF3bFA1dlE1b1M0XzdLSndUdWM5dUpMb3V4SGF5RXpMZHZhRFRRVEpSRGd4Sk5zT25sWTk4WWpwYTVObzF2Q3g3dmJaRDF1anFlNTJ0R0dwSV84cTZ0aUhSV180?oc=5
2026-09-21,BUMI,Bumi Resources,ok,22 Sep 07:29 WIB,investor.id,,Meraba Arah Cuan di Saham BUMI,https://news.google.com/rss/articles/CBMickFVX3lxTE83cDFOeEk2MEtxODJ1SE9kT3liYVN4bE1YdmFDa19iWFI0OTNMQmI5Zk1wTmNsZ2M3dlA2TkJKT0JqTkQ4eHk3RF9NaEt2Q01meXpNUUl1MzhHbU1PX2VSUU53aTd5bEFkWDlnQU9jNUpVUQ?oc=5
2026-09-21,BUMI,Bumi Resources,ok,22 Sep 04:46 WIB,Dunia Energi,,"Bumi Resources Minerals Set to Harvest High-Grade Gold in 2027, Underpinned by Poboya Underground Mine",https://news.google.com/rss/articles/CBMiywFBVV95cUxOc0tXbm9GTDJuRVVocXFGY1UwUFYtcm9aQ0pjeTBLd3pQYVZxRW5DSUlUb01EQi1NSHNabGljSDZqdDh5dzhCdEVKZVNaUlh3M3pGdXpkVlA4UlpRMExOc292b01mSlVQbmlhUlNQNnY0T3pUUTltQXJfVWxtMzY3RjYxYjVPd3VFNG1LRzEtQ1JPU2xxX044MDNkelNaS1VvaHM3aFVjdmpIaERWR0xtQjNSN2t5Sm1jNXJDeVFRTGRIdUhvcW9TNUlVaw?oc=5
2026-09-21,BUMI,Bumi Resources,ok,21 Sep 18:55 WIB,Tatarmedia,,"Pelepasan Saham BUMI dan ADRO oleh Asing Capai Rp348 Miliar, Ke Mana Aliran Dananya? - Tatar Media",https://news.google.com/rss/articles/CBMiwwFBVV95cUxQUXF4b01LVjRuTVdRbndnbnc3VTR2OTFHT3BoNW8wZ3Y2NThwSDNqWVhNTXdNM1NVTk03ODV3NHR4bEdKRktZWG5HcnhOd3E4bS1MRFhXMTZPMlE1SzYwdnVlVXJROVNXdmdOa0N4OXlFM1NEeVlzamJYZDJfemNNSmhtc01ZSzEtUnhtY0VnOHZJVTU0TXluRnRNSU1BODlES3d2VVlGRWRhMjRpWjRndmJVZUF2a195bWhpTlhrMm9UNE3SAcgBQVVfeXFMUEswTEtOenByOE9vTEx0akE3cXZGajZ3ZlRCa3FSTHU1VUVReV9EZXJlMS1TanV4dV9NbEdwUko0bDNsbWVtdnRsc2NXSTVrWWVlVDJfaTg4bVowQU1zWW0weUJlUXFDZUJWUkQ3RW5WcmdmNlVONVdZQTJyRnA0UlpFTUF3bURjMG95ODRDRzNZTWpoemlYSEwwZzMwZlRnVGtMSWEwRG1WQi1yNUJweVo5V3d3enlKN2ZrSmRmd3Mxd0pnamZKSFU?oc=5
