Stock Code,Company Name,Previous,Open Price,High,Low,Close,Change,Volume,Value,Frequency,Foreign Buy,Foreign Sell
AADI,Adaro Andalan Indonesia Tbk.,11975.0,11975.0,11975.0,11475.0,11600.0,-375.0,8216300.0,95355437500.0,6075.0,4751500.0,2791700.0
AALI,Astra Agro Lestari Tbk.,8600.0,8550.0,8650.0,8275.0,8350.0,-250.0,2111500.0,17800562500.0,2698.0,1331300.0,410900.0
ABBA,Mahaka Media Tbk.,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
ABDA,Asuransi Bina Dana Arta Tbk.,4960.0,0.0,5000.0,4960.0,5000.0,40.0,11000.0,54911000.0,16.0,1400.0,0.0
ABMM,ABM Investama Tbk.,2760.0,2800.0,2810.0,2730.0,2740.0,-20.0,297500.0,821479000.0,325.0,3100.0,115600.0
ACES,Aspirasi Hidup Indonesia Tbk.,350.0,348.0,352.0,342.0,346.0,-4.0,12709400.0,4393005400.0,2408.0,37400.0,6698300.0
ACRO,Samcro Hyosung Adilestari Tbk.,63.0,63.0,65.0,61.0,62.0,-1.0,18740300.0,1190842600.0,2401.0,2008000.0,2202300.0
ACST,Acset Indonusa Tbk.,114.0,0.0,112.0,103.0,103.0,-11.0,681700.0,70610200.0,118.0,0.0,700.0
ADCP,Adhi Commuter Properti Tbk.,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
ADES,Akasha Wira International Tbk.,32175.0,0.0,32150.0,31975.0,31975.0,-200.0,5000.0,160340000.0,19.0,0.0,0.0
ADHI,Adhi Karya (Persero) Tbk.,133.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0
ADMF,Adira Dinamika Multi Finance Tbk.,8725.0,8725.0,8775.0,8650.0,8775.0,50.0,112500.0,978735000.0,107.0,3100.0,8200.0
ADMG,Polychem Indonesia Tbk,248.0,248.0,258.0,244.0,252.0,4.0,514700.0,129936600.0,166.0,81000.0,35900.0
ADMR,Alamtri Minerals Indonesia Tbk.,1590.0,1590.0,1595.0,1535.0,1535.0,-55.0,25188800.0,39270297500.0,5534.0,6639900.0,12839600.0
ADRO,Alamtri Resources Indonesia Tbk.,2640.0,2660.0,2660.0,2600.0,2620.0,-20.0,28553500.0,74874942000.0,7884.0,9641000.0,18155100.0
AEGS,Anugerah Spareparts Sejahtera Tbk.,50.0,0.0,50.0,48.0,49.0,-1.0,2627400.0,128629400.0,161.0,761400.0,0.0
AGAR,Asia Sejahtera Mina Tbk.,1840.0,1800.0,2300.0,1570.0,2300.0,460.0,3932300.0,7858492000.0,4927.0,252200.0,265400.0
