Stock Code,Company Name,Previous,Open Price,High,Low,Close,Change,Volume,Value,Frequency,Foreign Buy,Foreign Sell
AADI,Adaro Andalan Indonesia Tbk.,12225.0,12275.0,12350.0,12150.0,12275.0,50.0,4782200.0,58710652500.0,4771.0,2781900.0,2247800.0
AALI,Astra Agro Lestari Tbk.,8450.0,8500.0,8525.0,8400.0,8475.0,25.0,561200.0,4748327500.0,762.0,307000.0,311600.0
ABBA,Mahaka Media Tbk.,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
ABDA,Asuransi Bina Dana Arta Tbk.,4960.0,0.0,4970.0,4950.0,4960.0,0.0,3900.0,19335000.0,11.0,0.0,0.0
ABMM,ABM Investama Tbk.,2780.0,2780.0,2840.0,2770.0,2840.0,60.0,515000.0,1443513000.0,286.0,60100.0,92000.0
ACES,Aspirasi Hidup Indonesia Tbk.,354.0,354.0,356.0,350.0,354.0,0.0,22481500.0,7935737000.0,1855.0,11157900.0,2336100.0
ACRO,Samcro Hyosung Adilestari Tbk.,64.0,65.0,66.0,64.0,65.0,1.0,2774100.0,179203900.0,314.0,241500.0,14200.0
ACST,Acset Indonusa Tbk.,104.0,0.0,111.0,108.0,108.0,4.0,758200.0,83710400.0,116.0,0.0,34000.0
ADCP,Adhi Commuter Properti Tbk.,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
ADES,Akasha Wira International Tbk.,32000.0,0.0,32000.0,32000.0,32000.0,0.0,8800.0,281600000.0,20.0,0.0,0.0
ADHI,Adhi Karya (Persero) Tbk.,133.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0
ADMF,Adira Dinamika Multi Finance Tbk.,8675.0,0.0,8775.0,8675.0,8750.0,75.0,27400.0,239285000.0,60.0,2800.0,3000.0
ADMG,Polychem Indonesia Tbk,248.0,248.0,258.0,246.0,252.0,4.0,1203300.0,302855600.0,147.0,237500.0,94700.0
ADMR,Alamtri Minerals Indonesia Tbk.,1595.0,1600.0,1605.0,1575.0,1580.0,-15.0,16604600.0,26350082000.0,4391.0,1835500.0,6357700.0
ADRO,Alamtri Resources Indonesia Tbk.,2620.0,2620.0,2640.0,2580.0,2590.0,-30.0,26711100.0,69666786000.0,10748.0,7570900.0,13300700.0
