Stock Code,Company Name,Previous,Open Price,High,Low,Close,Change,Volume,Value,Frequency,Foreign Buy,Foreign Sell
AADI,Adaro Andalan Indonesia Tbk.,12400.0,12400.0,12475.0,12225.0,12375.0,-25.0,7462500.0,92182637500.0,5705.0,4890700.0,3504600.0
AALI,Astra Agro Lestari Tbk.,8625.0,8625.0,8700.0,8575.0,8675.0,50.0,1857900.0,16048505000.0,1110.0,1217900.0,244100.0
ABBA,Mahaka Media Tbk.,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
ABDA,Asuransi Bina Dana Arta Tbk.,4970.0,0.0,4970.0,4970.0,4970.0,0.0,800.0,3976000.0,4.0,0.0,0.0
ABMM,ABM Investama Tbk.,2800.0,2800.0,2850.0,2770.0,2790.0,-10.0,859200.0,2405779000.0,420.0,178400.0,182700.0
ACES,Aspirasi Hidup Indonesia Tbk.,350.0,352.0,352.0,346.0,352.0,2.0,7562100.0,2643434400.0,2122.0,2167900.0,2981800.0
ACRO,Samcro Hyosung Adilestari Tbk.,64.0,64.0,65.0,63.0,64.0,0.0,4351100.0,278226400.0,334.0,323200.0,18000.0
ACST,Acset Indonusa Tbk.,106.0,0.0,106.0,104.0,105.0,-1.0,313000.0,33034500.0,44.0,0.0,15500.0
ADCP,Adhi Commuter Properti Tbk.,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
ADES,Akasha Wira International Tbk.,31975.0,0.0,32500.0,31900.0,32500.0,525.0,13500.0,433470000.0,28.0,0.0,0.0
ADHI,Adhi Karya (Persero) Tbk.,133.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0
ADMF,Adira Dinamika Multi Finance Tbk.,8750.0,8650.0,8750.0,8625.0,8700.0,-50.0,30800.0,267047500.0,85.0,1100.0,0.0
ADMG,Polychem Indonesia Tbk,252.0,254.0,256.0,248.0,250.0,-2.0,1059900.0,264804600.0,153.0,1000.0,0.0
ADMR,Alamtri Minerals Indonesia Tbk.,1510.0,1510.0,1590.0,1505.0,1570.0,60.0,40031500.0,62021849500.0,7740.0,14362000.0,8886900.0
ADRO,Alamtri Resources Indonesia Tbk.,2600.0,2600.0,2700.0,2590.0,2670.0,70.0,43351000.0,115399226000.0,10879.0,14237700.0,15938400.0
AEGS,Anugerah Spareparts Sejahtera Tbk.,51.0,0.0,51.0,49.0,50.0,-1.0,972700.0,48322900.0,107.0,10100.0,0.0
AGAR,Asia Sejahtera Mina Tbk.,2530.0,2530.0,2530.0,2160.0,2160.0,-370.0,1610200.0,3674264000.0,2315.0,64300.0,52100.0
AGII,Samator Indo Gas Tbk.,3300.0,3300.0,3580.0,3260.0,3390.0,90.0,2703100.0,9218305000.0,1125.0,0.0,888500.0
AGRO,Bank Raya Indonesia Tbk.,146.0,147.0,148.0,145.0,145.0,-1.0,3886500.0,567603800.0,447.0,29700.0,676400.0
AGRS,Bank IBK Indonesia Tbk.,59.0,59.0,60.0,59.0,60.0,1.0,2168400.0,127983600.0,108.0,0.0,3000.0
AHAP,Asuransi Harta Aman Pratama Tbk.,112.0,112.0,120.0,111.0,115.0,3.0,67673500.0,7799434500.0,4647.0,11808500.0,3782800.0
AIMS,Artha Mahiya Investama Tbk.,482.0,0.0,550.0,488.0,505.0,23.0,654200.0,338655700.0,449.0,0.0,0.0
AISA,FKS Food Sejahtera Tbk.,116.0,117.0,121.0,115.0,117.0,1.0,11256600.0,1327349600.0,1399.0,469300.0,795600.0
AKKU,Anugerah Kagum Karya Utama Tbk.,38.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
AKPI,Argha Karya Prima Industry Tbk.,550.0,560.0,560.0,540.0,545.0,-5.0,345600.0,189117000.0,65.0,2400.0,0.0
AKRA,AKR Corporindo Tbk.,1475.0,1475.0,1475.0,1460.0,1470.0,-5.0,6274600.0,9199324500.0,1954.0,3307100.0,2903100.0
AKSI,Mineral Sumberdaya Mandiri Tbk.,370.0,372.0,410.0,362.0,382.0,12.0,3402700.0,1322844800.0,1246.0,253200.0,274900.0
ALDO,Alkindo Naratama Tbk.,960.0,0.0,960.0,920.0,955.0,-5.0,20300.0,19215500.0,53.0,0.0,0.0
ALII,Ancara Logistics Indonesia Tbk.,725.0,720.0,730.0,695.0,715.0,-10.0,841300.0,595075500.0,298.0,281800.0,2600.0
ALKA,Alakasa Industrindo Tbk,7400.0,0.0,0.0,0.0,7400.0,0.0,0.0,0.0,0.0,0.0,0.0
ALMI,Alumindo Light Metal Industry Tbk.,74.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
ALTO,Tri Banyan Tirta Tbk.,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
AMAG,Asuransi Multi Artha Guna Tbk.,388.0,388.0,388.0,386.0,388.0,0.0,71100.0,27449200.0,23.0,0.0,0.0
AMAN,Makmur Berkah Amanda Tbk.,222.0,222.0,228.0,212.0,226.0,4.0,527800.0,116452400.0,124.0,1500.0,169900.0
AMAR,Bank Amar Indonesia Tbk.,234.0,234.0,238.0,232.0,238.0,4.0,1167600.0,273708400.0,98.0,0.0,4500.0
AMFG,Asahimas Flat Glass Tbk.,3250.0,0.0,3330.0,3310.0,3320.0,70.0,400.0,1329000.0,4.0,0.0,200.0
AMIN,Ateliers Mecaniques D Indonesie Tbk.,246.0,246.0,268.0,242.0,250.0,4.0,244100.0,60926600.0,253.0,8100.0,14100.0
AMMN,Amman Mineral Internasional Tbk.,5150.0,5125.0,5200.0,4870.0,4900.0,-250.0,121576900.0,602597867500.0,35753.0,25129300.0,54889600.0
AMMS,Agung Menjangan Mas Tbk.,206.0,0.0,222.0,196.0,214.0,8.0,307800.0,65826100.0,155.0,0.0,0.0
AMOR,Ashmore Asset Management Indonesia Tbk.,370.0,370.0,372.0,366.0,370.0,0.0,115200.0,42539600.0,48.0,9700.0,3200.0
AMRT,Sumber Alfaria Trijaya Tbk.,1300.0,1300.0,1325.0,1295.0,1325.0,25.0,21271800.0,27943871500.0,3542.0,17034500.0,8386100.0
ANDI,Andira Agro Tbk.,20.0,0.0,21.0,21.0,21.0,1.0,5360200.0,112564200.0,145.0,0.0,0.0
ANJT,Austindo Nusantara Jaya Tbk.,1600.0,1595.0,1610.0,1585.0,1590.0,-10.0,68800.0,110017000.0,29.0,0.0,0.0
ANTM,ANTAM (Persero) Tbk.,3220.0,3250.0,3290.0,3190.0,3280.0,60.0,71211300.0,231338078000.0,16985.0,35928000.0,29218900.0
APEX,Apexindo Pratama Duta Tbk.,192.0,192.0,197.0,187.0,193.0,1.0,10848300.0,2077551500.0,953.0,2705100.0,1024900.0
APIC,Pacific Strategic Financial Tbk.,404.0,404.0,414.0,396.0,412.0,8.0,2263200.0,917187000.0,492.0,909000.0,1083100.0
APII,Arita Prima Indonesia Tbk.,195.0,198.0,210.0,191.0,206.0,11.0,4768800.0,949798100.0,817.0,22400.0,13000.0
APLI,Asiaplast Industries Tbk.,292.0,300.0,300.0,278.0,286.0,-6.0,508900.0,145639200.0,173.0,15400.0,115300.0
APLN,Agung Podomoro Land Tbk.,128.0,127.0,129.0,125.0,127.0,-1.0,11197800.0,1416543700.0,821.0,2935100.0,1114400.0
