Stock Code,Company Name,Previous,Open Price,High,Low,Close,Change,Volume,Value,Frequency,Foreign Buy,Foreign Sell
AADI,Adaro Andalan Indonesia Tbk.,12375.0,12450.0,12450.0,11750.0,11975.0,-400.0,15293600.0,184247457500.0,6315.0,10652700.0,8044500.0
AALI,Astra Agro Lestari Tbk.,8675.0,8650.0,8775.0,8400.0,8600.0,-75.0,2999800.0,25898510000.0,1212.0,1007000.0,1747000.0
ABBA,Mahaka Media Tbk.,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
ABDA,Asuransi Bina Dana Arta Tbk.,4970.0,0.0,4970.0,4960.0,4960.0,-10.0,1500.0,7441000.0,3.0,0.0,900.0
ABMM,ABM Investama Tbk.,2790.0,2840.0,2840.0,2730.0,2760.0,-30.0,417800.0,1156019000.0,361.0,51700.0,138500.0
ACES,Aspirasi Hidup Indonesia Tbk.,352.0,352.0,352.0,346.0,350.0,-2.0,14295900.0,4975175200.0,2227.0,3257600.0,5009600.0
ACRO,Samcro Hyosung Adilestari Tbk.,64.0,64.0,64.0,61.0,63.0,-1.0,6276700.0,392191000.0,485.0,0.0,2015000.0
ACST,Acset Indonusa Tbk.,105.0,0.0,115.0,106.0,114.0,9.0,1871700.0,213826400.0,108.0,0.0,93000.0
ADCP,Adhi Commuter Properti Tbk.,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
ADES,Akasha Wira International Tbk.,32500.0,0.0,32475.0,32175.0,32175.0,-325.0,4100.0,132277500.0,23.0,0.0,0.0
ADHI,Adhi Karya (Persero) Tbk.,133.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0
ADMF,Adira Dinamika Multi Finance Tbk.,8700.0,0.0,8725.0,8650.0,8725.0,25.0,10200.0,88622500.0,40.0,1400.0,1700.0
ADMG,Polychem Indonesia Tbk,250.0,0.0,254.0,246.0,248.0,-2.0,598200.0,149349000.0,102.0,2400.0,70800.0
ADMR,Alamtri Minerals Indonesia Tbk.,1570.0,1590.0,1600.0,1570.0,1590.0,20.0,24515300.0,38923555500.0,4997.0,11722500.0,8823400.0
ADRO,Alamtri Resources Indonesia Tbk.,2670.0,2700.0,2720.0,2640.0,2640.0,-30.0,74058700.0,197971445000.0,12944.0,24290300.0,51656100.0
AEGS,Anugerah Spareparts Sejahtera Tbk.,50.0,0.0,51.0,49.0,50.0,0.0,6545000.0,323645800.0,158.0,999200.0,0.0
AGAR,Asia Sejahtera Mina Tbk.,2160.0,2000.0,2050.0,1840.0,1840.0,-320.0,1087400.0,2035538000.0,1307.0,138800.0,18300.0
AGII,Samator Indo Gas Tbk.,3390.0,3400.0,3800.0,3300.0,3740.0,350.0,1795200.0,6541061000.0,1113.0,114800.0,643900.0
AGRO,Bank Raya Indonesia Tbk.,145.0,146.0,150.0,145.0,145.0,0.0,5458300.0,798680500.0,556.0,51000.0,1474600.0
AGRS,Bank IBK Indonesia Tbk.,60.0,60.0,60.0,58.0,59.0,-1.0,7827900.0,459518300.0,180.0,0.0,1500900.0
AHAP,Asuransi Harta Aman Pratama Tbk.,115.0,117.0,117.0,103.0,104.0,-11.0,96909500.0,10518543000.0,4815.0,6796300.0,10620400.0
AIMS,Artha Mahiya Investama Tbk.,505.0,500.0,540.0,486.0,515.0,10.0,773000.0,391246700.0,261.0,0.0,0.0
AISA,FKS Food Sejahtera Tbk.,117.0,117.0,132.0,116.0,120.0,3.0,148810300.0,18625758600.0,15161.0,10606300.0,10107200.0
AKKU,Anugerah Kagum Karya Utama Tbk.,38.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
AKPI,Argha Karya Prima Industry Tbk.,545.0,0.0,540.0,525.0,530.0,-15.0,341100.0,180862500.0,122.0,1700.0,0.0
AKRA,AKR Corporindo Tbk.,1470.0,1475.0,1485.0,1450.0,1470.0,0.0,13014500.0,19082798000.0,4609.0,6642000.0,9898600.0
AKSI,Mineral Sumberdaya Mandiri Tbk.,382.0,390.0,440.0,370.0,388.0,6.0,3591000.0,1469780600.0,2027.0,274700.0,324400.0
ALDO,Alkindo Naratama Tbk.,955.0,0.0,990.0,940.0,955.0,0.0,87700.0,83593500.0,60.0,0.0,0.0
ALII,Ancara Logistics Indonesia Tbk.,715.0,715.0,755.0,710.0,735.0,20.0,392400.0,286914000.0,199.0,83100.0,63200.0
ALKA,Alakasa Industrindo Tbk,7400.0,0.0,0.0,0.0,7400.0,0.0,0.0,0.0,0.0,0.0,0.0
ALMI,Alumindo Light Metal Industry Tbk.,74.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
ALTO,Tri Banyan Tirta Tbk.,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
AMAG,Asuransi Multi Artha Guna Tbk.,388.0,0.0,388.0,384.0,386.0,-2.0,187700.0,72452400.0,23.0,50000.0,0.0
AMAN,Makmur Berkah Amanda Tbk.,226.0,228.0,228.0,220.0,220.0,-6.0,194700.0,43583200.0,49.0,600.0,61000.0
AMAR,Bank Amar Indonesia Tbk.,238.0,238.0,240.0,236.0,240.0,2.0,3718500.0,884964600.0,174.0,0.0,23900.0
AMFG,Asahimas Flat Glass Tbk.,3320.0,0.0,3300.0,3220.0,3290.0,-30.0,14300.0,46199000.0,22.0,0.0,1500.0
AMIN,Ateliers Mecaniques D Indonesie Tbk.,250.0,250.0,272.0,244.0,260.0,10.0,576200.0,145688200.0,272.0,14700.0,26300.0
AMMN,Amman Mineral Internasional Tbk.,4900.0,4900.0,4960.0,4610.0,4680.0,-220.0,259045200.0,1220564522000.0,39467.0,120981400.0,163035500.0
AMMS,Agung Menjangan Mas Tbk.,214.0,0.0,222.0,214.0,218.0,4.0,358100.0,77359200.0,124.0,0.0,0.0
AMOR,Ashmore Asset Management Indonesia Tbk.,370.0,370.0,372.0,366.0,370.0,0.0,61700.0,22661800.0,73.0,200.0,15700.0
AMRT,Sumber Alfaria Trijaya Tbk.,1325.0,1330.0,1350.0,1295.0,1300.0,-25.0,101363200.0,132359814000.0,4983.0,94880300.0,89683400.0
ANDI,Andira Agro Tbk.,21.0,0.0,21.0,20.0,20.0,-1.0,9783600.0,196560300.0,182.0,0.0,0.0
