Stock Code,Company Name,Previous,Open Price,High,Low,Close,Change,Volume,Value,Frequency,Foreign Buy,Foreign Sell
AADI,Adaro Andalan Indonesia Tbk.,12275.0,12275.0,12475.0,12250.0,12400.0,125.0,7319400.0,90798032500.0,6822.0,4006300.0,3381300.0
AALI,Astra Agro Lestari Tbk.,8475.0,8475.0,8625.0,8450.0,8625.0,150.0,2577900.0,22050565000.0,3759.0,1429100.0,470300.0
ABBA,Mahaka Media Tbk.,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
ABDA,Asuransi Bina Dana Arta Tbk.,4960.0,0.0,4990.0,4950.0,4970.0,10.0,14500.0,72044000.0,15.0,1500.0,600.0
ABMM,ABM Investama Tbk.,2840.0,2860.0,2860.0,2800.0,2800.0,-40.0,531500.0,1504444000.0,295.0,16000.0,405300.0
ACES,Aspirasi Hidup Indonesia Tbk.,354.0,354.0,358.0,340.0,350.0,-4.0,51471900.0,17917147600.0,3515.0,17589100.0,2954000.0
ACRO,Samcro Hyosung Adilestari Tbk.,65.0,66.0,66.0,64.0,64.0,-1.0,3125000.0,201177800.0,330.0,14900.0,282800.0
ACST,Acset Indonusa Tbk.,108.0,0.0,106.0,106.0,106.0,-2.0,1096400.0,116218400.0,95.0,0.0,48000.0
ADCP,Adhi Commuter Properti Tbk.,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
ADES,Akasha Wira International Tbk.,32000.0,0.0,32000.0,31975.0,31975.0,-25.0,1700.0,54395000.0,13.0,0.0,0.0
ADHI,Adhi Karya (Persero) Tbk.,133.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0
ADMF,Adira Dinamika Multi Finance Tbk.,8750.0,8750.0,8750.0,8725.0,8750.0,0.0,33500.0,292677500.0,45.0,900.0,0.0
ADMG,Polychem Indonesia Tbk,252.0,252.0,262.0,250.0,252.0,0.0,754200.0,191080800.0,104.0,0.0,61800.0
ADMR,Alamtri Minerals Indonesia Tbk.,1580.0,1580.0,1615.0,1510.0,1510.0,-70.0,66181500.0,102845642000.0,17493.0,6097200.0,16464900.0
ADRO,Alamtri Resources Indonesia Tbk.,2590.0,2590.0,2680.0,2580.0,2600.0,10.0,53235800.0,140258169000.0,12509.0,7669100.0,23045400.0
AEGS,Anugerah Spareparts Sejahtera Tbk.,51.0,0.0,52.0,49.0,51.0,0.0,1862500.0,93413100.0,165.0,0.0,0.0
AGAR,Asia Sejahtera Mina Tbk.,2740.0,2750.0,2950.0,2340.0,2530.0,-210.0,2003900.0,5351272000.0,3083.0,35600.0,108100.0
AGII,Samator Indo Gas Tbk.,3150.0,3150.0,3380.0,3150.0,3300.0,150.0,749800.0,2471018000.0,728.0,43400.0,5000.0
AGRO,Bank Raya Indonesia Tbk.,148.0,148.0,149.0,145.0,146.0,-2.0,3731600.0,546837100.0,480.0,31200.0,1214300.0
AGRS,Bank IBK Indonesia Tbk.,60.0,61.0,61.0,59.0,59.0,-1.0,10078100.0,598210600.0,290.0,100000.0,127800.0
AHAP,Asuransi Harta Aman Pratama Tbk.,118.0,119.0,123.0,112.0,112.0,-6.0,184772700.0,21788285500.0,11371.0,15287100.0,15751400.0
AIMS,Artha Mahiya Investama Tbk.,496.0,520.0,520.0,480.0,482.0,-14.0,476700.0,232462600.0,152.0,0.0,0.0
AISA,FKS Food Sejahtera Tbk.,115.0,115.0,117.0,114.0,116.0,1.0,2441700.0,281593800.0,248.0,9300.0,213200.0
