Stock Code,Company Name,Previous,Open Price,High,Low,Close,Change,Volume,Value,Frequency,Foreign Buy,Foreign Sell
MORA,Ekamas Mora Republik Tbk.,4900.0,0.0,4940.0,4790.0,4800.0,-100.0,298200.0,1448963000.0,342.0,21500.0,53700.0
MPIX,Mitra Pedagang Indonesia Tbk.,198.0,198.0,208.0,181.0,186.0,-12.0,23766100.0,4607064600.0,2489.0,5085600.0,3942700.0
MPMX,Mitra Pinasthika Mustika Tbk.,1020.0,1020.0,1025.0,1015.0,1015.0,-5.0,2107400.0,2145601000.0,973.0,102400.0,533500.0
MPOW,Megapower Makmur Tbk.,113.0,113.0,114.0,109.0,111.0,-2.0,5220100.0,578036300.0,582.0,54600.0,33900.0
MPPA,Matahari Putra Prima Tbk.,40.0,0.0,40.0,38.0,39.0,-1.0,7815100.0,304636700.0,157.0,0.0,0.0
MPRO,Maha Properti Indonesia Tbk.,12100.0,0.0,12000.0,11775.0,12000.0,-100.0,600.0,7177500.0,5.0,0.0,0.0
MPXL,MPX Logistics International Tbk.,164.0,0.0,171.0,159.0,164.0,0.0,1285100.0,212245300.0,586.0,14000.0,96400.0
MRAT,Mustika Ratu Tbk.,358.0,360.0,380.0,356.0,360.0,2.0,107100.0,38973600.0,124.0,400.0,300.0
MREI,Maskapai Reasuransi Indonesia Tbk.,920.0,0.0,0.0,0.0,920.0,0.0,0.0,0.0,0.0,0.0,0.0
MSIE,Multisarana Intan Eduka Tbk.,185.0,0.0,194.0,174.0,177.0,-8.0,8089000.0,1458527400.0,1060.0,152800.0,1926100.0
MSIN,MNC Digital Entertainment Tbk.,268.0,270.0,270.0,238.0,250.0,-18.0,89561300.0,22775010600.0,18229.0,42334900.0,50011700.0
MSJA,Multi Spunindo Jaya Tbk.,820.0,820.0,845.0,730.0,845.0,25.0,13016600.0,10683990500.0,1836.0,3816500.0,1420500.0
MSKY,MNC Sky Vision Tbk.,67.0,67.0,68.0,65.0,65.0,-2.0,6928400.0,456867200.0,424.0,100.0,492800.0
MSTI,Mastersystem Infotama Tbk.,1350.0,1360.0,1365.0,1335.0,1350.0,0.0,867600.0,1170132500.0,533.0,4400.0,55900.0
MTDL,Metrodata Electronics Tbk.,500.0,500.0,510.0,498.0,500.0,0.0,1867900.0,940814300.0,406.0,7400.0,551000.0
MTEL,Dayamitra Telekomunikasi Tbk.,492.0,492.0,510.0,490.0,492.0,0.0,32711400.0,16289366500.0,3073.0,20285400.0,10929500.0
MTFN,Capitalinc Investment Tbk.,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
MTLA,Metropolitan Land Tbk.,520.0,0.0,525.0,510.0,515.0,-5.0,11200.0,5782500.0,17.0,0.0,0.0
MTMH,Murni Sadar Tbk.,970.0,0.0,970.0,920.0,965.0,-5.0,16800.0,15979000.0,99.0,0.0,200.0
MTPS,Meta Epsi Tbk.,81.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
MTRA,Mitra Pemuda Tbk.,244.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0
MTSM,Metro Realty Tbk.,500.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0
MTWI,Malacca Trust Wuwungan Insurance Tbk.,278.0,0.0,280.0,264.0,280.0,2.0,52400.0,14252200.0,39.0,700.0,800.0
MUTU,Mutuagung Lestari Tbk.,135.0,136.0,136.0,125.0,125.0,-10.0,38049500.0,4923487700.0,2595.0,4512800.0,4975700.0
MYOH,Samindo Resources Tbk.,1035.0,1035.0,1040.0,1005.0,1025.0,-10.0,487500.0,496321000.0,302.0,15400.0,366200.0
MYOR,Mayora Indah Tbk.,1510.0,1520.0,1520.0,1485.0,1485.0,-25.0,12431100.0,18585743500.0,4090.0,2959200.0,6714500.0
MYTX,Asia Pacific Investama Tbk.,41.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
NAIK,Adiwarna Anugerah Abadi Tbk.,91.0,91.0,92.0,89.0,89.0,-2.0,3325800.0,299330900.0,459.0,139000.0,352400.0
NANO,Nanotech Indonesia Global Tbk.,32.0,0.0,34.0,32.0,33.0,1.0,14367100.0,470852000.0,566.0,400.0,243300.0
NASA,Andalan Perkasa Abadi Tbk.,36.0,0.0,36.0,33.0,33.0,-3.0,178000.0,5970900.0,45.0,0.0,0.0
NASI,Wahana Inti Makmur Tbk.,292.0,0.0,0.0,0.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0
NATO,Olympus Strategic Indonesia Tbk.,1155.0,1105.0,1230.0,1075.0,1225.0,70.0,802400.0,930991000.0,384.0,14200.0,75200.0
NAYZ,Hassana Boga Sejahtera Tbk.,76.0,0.0,76.0,72.0,74.0,-2.0,28070900.0,2053589700.0,623.0,376900.0,1060400.0
NCKL,Trimegah Bangun Persada Tbk.,930.0,935.0,935.0,910.0,915.0,-15.0,16676800.0,15311496500.0,4899.0,6662100.0,7336100.0
NELY,Pelayaran Nelly Dwi Putri Tbk.,200.0,200.0,204.0,200.0,200.0,0.0,1060500.0,213653200.0,139.0,0.0,0.0
NEST,Esta Indonesia Tbk.,785.0,780.0,780.0,755.0,765.0,-20.0,6481600.0,4969968500.0,1709.0,519000.0,384800.0
NETV,MDTV Media Technologies Tbk.,50.0,0.0,50.0,50.0,50.0,0.0,7800.0,390000.0,19.0,0.0,0.0
NFCX,NFC Indonesia Tbk.,1700.0,0.0,1745.0,1670.0,1745.0,45.0,4100.0,6892000.0,5.0,0.0,0.0
NICE,Adhi Kartiko Pratama Tbk.,368.0,374.0,374.0,360.0,360.0,-8.0,1189100.0,430723200.0,236.0,86500.0,174300.0
NICK,Charnic Capital Tbk.,2820.0,0.0,0.0,0.0,2820.0,0.0,0.0,0.0,0.0,0.0,0.0
NICL,PAM Mineral Tbk.,448.0,448.0,452.0,428.0,430.0,-18.0,20785300.0,9200819600.0,2164.0,2303400.0,2845200.0
NIKL,Pelat Timah Nusantara Tbk.,214.0,214.0,214.0,204.0,208.0,-6.0,4731100.0,984377200.0,728.0,1280700.0,720500.0
NINE,Techno9 Indonesia Tbk.,85.0,0.0,86.0,80.0,81.0,-4.0,6874100.0,560424300.0,852.0,188100.0,550200.0
NIRO,City Retail Developments Tbk.,175.0,0.0,181.0,160.0,160.0,-15.0,2865000.0,499796700.0,1288.0,29900.0,908300.0
NISP,Bank OCBC NISP Tbk.,1260.0,1260.0,1270.0,1245.0,1260.0,0.0,5429600.0,6808365500.0,534.0,728300.0,2058200.0
NOBU,Bank Nationalnobu Tbk.,535.0,540.0,570.0,535.0,565.0,30.0,13343500.0,7417124500.0,1663.0,1136300.0,2170300.0
NPGF,Nusa Palapa Gemilang Tbk.,55.0,55.0,56.0,54.0,55.0,0.0,3321800.0,182232100.0,596.0,0.0,0.0
NRCA,Nusa Raya Cipta Tbk.,560.0,565.0,570.0,540.0,550.0,-10.0,6391600.0,3538434500.0,1194.0,1162300.0,938200.0
NSSS,Nusantara Sawit Sejahtera Tbk.,760.0,760.0,760.0,715.0,725.0,-35.0,3443800.0,2536562500.0,1285.0,1252100.0,428600.0
NTBK,Nusatama Berkah Tbk.,80.0,80.0,82.0,77.0,78.0,-2.0,9491900.0,746681400.0,780.0,441600.0,2394100.0
NUSA,Sinergi Megah Internusa Tbk.,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
NZIA,Nusantara Almazia Tbk.,174.0,178.0,178.0,161.0,162.0,-12.0,7935800.0,1326237100.0,1721.0,2087700.0,975200.0
OASA,Maharaksa Biru Energi Tbk.,286.0,286.0,286.0,270.0,278.0,-8.0,10014900.0,2773065800.0,1031.0,753300.0,2538000.0
OBAT,Brigit Biofarmaka Teknologi Tbk.,244.0,244.0,248.0,232.0,238.0,-6.0,228100.0,53847800.0,204.0,1300.0,800.0
OBMD,OBM Drilchem Tbk.,191.0,193.0,206.0,187.0,195.0,4.0,1445200.0,282106500.0,419.0,12100.0,9200.0
OCAP,Onix Capital Tbk.,159.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0
OILS,Indo Oil Perkasa Tbk.,306.0,310.0,330.0,300.0,306.0,0.0,9818400.0,3057458000.0,1288.0,1232500.0,1446200.0
OKAS,Ancora Indonesia Resources Tbk.,115.0,115.0,116.0,112.0,113.0,-2.0,3118400.0,352666300.0,316.0,0.0,84100.0
OLIV,Atlas Nexus Group Tbk.,56.0,0.0,57.0,53.0,53.0,-3.0,13964500.0,752167300.0,608.0,29000.0,2929100.0
OMED,Jayamas Medica Industri Tbk.,212.0,212.0,214.0,206.0,208.0,-4.0,3950600.0,826675400.0,589.0,1354800.0,564200.0
OMRE,Indonesia Prima Property Tbk,950.0,945.0,1055.0,945.0,985.0,35.0,11000.0,10789500.0,50.0,0.0,0.0
OPMS,Optima Prima Metal Sinergi Tbk.,113.0,113.0,114.0,104.0,104.0,-9.0,4411200.0,476494700.0,665.0,35700.0,653000.0
PACK,Abadi Nusantara Hijau Investama Tbk.,510.0,0.0,560.0,530.0,560.0,50.0,290928300.0,158577759000.0,5415.0,2858200.0,48700300.0
PADA,Personel Alih Daya Tbk.,191.0,192.0,196.0,175.0,181.0,-10.0,27118500.0,4948649300.0,2284.0,4016300.0,3504600.0
PADI,Minna Padi Investama Sekuritas Tbk.,62.0,64.0,64.0,57.0,58.0,-4.0,398811900.0,23571517300.0,8471.0,60006000.0,55073600.0
PALM,Provident Investasi Bersama Tbk.,294.0,294.0,294.0,286.0,292.0,-2.0,279500.0,80984600.0,73.0,300.0,28800.0
PAMG,Bima Sakti Pertiwi Tbk.,53.0,52.0,68.0,51.0,54.0,1.0,285746800.0,17750551400.0,10452.0,1113800.0,1169600.0
PANI,Pantai Indah Kapuk Dua Tbk.,5175.0,5175.0,5275.0,4930.0,4980.0,-195.0,11468900.0,57566376500.0,4642.0,3325600.0,1074200.0
PANR,Panorama Sentrawisata Tbk.,408.0,0.0,416.0,408.0,410.0,2.0,29500.0,12050200.0,17.0,0.0,0.0
PANS,Panin Sekuritas Tbk.,1650.0,1635.0,1655.0,1615.0,1630.0,-20.0,102600.0,167715000.0,146.0,0.0,6400.0
PART,Cipta Perdana Lancar Tbk.,106.0,106.0,116.0,105.0,109.0,3.0,36627000.0,4025709600.0,5795.0,2772700.0,3268700.0
PBID,Panca Budi Idaman Tbk.,525.0,525.0,525.0,515.0,520.0,-5.0,1121500.0,585211000.0,230.0,42000.0,92600.0
PBRX,Pan Brothers Tbk.,26.0,0.0,25.0,24.0,24.0,-2.0,13569400.0,332563100.0,402.0,0.0,0.0
PBSA,Paramita Bangun Sarana Tbk.,725.0,725.0,750.0,715.0,735.0,10.0,1244500.0,907661000.0,388.0,20100.0,142500.0
PCAR,Prima Cakrawala Abadi Tbk.,44.0,0.0,45.0,44.0,45.0,1.0,3047300.0,137073400.0,88.0,0.0,0.0
PDES,Destinasi Tirta Nusantara Tbk,374.0,0.0,390.0,370.0,380.0,6.0,70300.0,26200000.0,44.0,14500.0,0.0
PDPP,Primadaya Plastisindo Tbk.,338.0,348.0,348.0,334.0,338.0,0.0,307500.0,103802600.0,90.0,13400.0,16900.0
PEGE,Panca Global Kapital Tbk.,135.0,136.0,139.0,130.0,133.0,-2.0,15153500.0,2031131500.0,851.0,2970800.0,2071400.0
PEHA,Phapros Tbk.,294.0,292.0,306.0,288.0,288.0,-6.0,593900.0,175915000.0,293.0,40500.0,75800.0
PEVE,Penta Valent Tbk.,308.0,310.0,310.0,304.0,308.0,0.0,1084000.0,332758200.0,97.0,0.0,0.0
PGAS,Perusahaan Gas Negara (Persero) Tbk.,1500.0,1500.0,1505.0,1455.0,1455.0,-45.0,34749200.0,50937549500.0,10409.0,10550000.0,22264600.0
PGEO,Pertamina Geothermal Energy Tbk.,1055.0,1055.0,1095.0,1045.0,1065.0,10.0,23199700.0,24742667500.0,4101.0,9977100.0,4898200.0
PGJO,Bahtera Bumi Raya Tbk.,840.0,0.0,880.0,815.0,870.0,30.0,677900.0,578292000.0,198.0,59300.0,14700.0
PGLI,Pembangunan Graha Lestari Indah Tbk.,197.0,206.0,216.0,199.0,212.0,15.0,2161100.0,452851900.0,398.0,0.0,200000.0
PGUN,Pradiksi Gunatama Tbk.,9350.0,0.0,9700.0,8300.0,8900.0,-450.0,140700.0,1276642500.0,380.0,6700.0,7800.0
PICO,Pelangi Indah Canindo Tbk,176.0,0.0,177.0,167.0,167.0,-9.0,1069400.0,183045300.0,214.0,17400.0,25400.0
PIPA,Oxala Energy International Tbk.,173.0,172.0,177.0,154.0,161.0,-12.0,129340200.0,21245204900.0,9148.0,26865400.0,20357300.0
PJAA,Pembangunan Jaya Ancol Tbk.,476.0,480.0,480.0,460.0,460.0,-16.0,182700.0,85310200.0,108.0,14900.0,0.0
PJHB,Pelayaran Jaya Hidup Baru Tbk.,176.0,176.0,177.0,167.0,172.0,-4.0,2158600.0,370917300.0,635.0,87600.0,242100.0
PKPK,Paragon Karya Perkasa Tbk.,4670.0,4770.0,4780.0,4530.0,4620.0,-50.0,1757800.0,8137968000.0,990.0,279400.0,315100.0
PLAN,Planet Properindo Jaya Tbk.,64.0,0.0,66.0,60.0,64.0,0.0,7441100.0,466339400.0,374.0,12900.0,405100.0
PLAS,Polaris Investama Tbk,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
PLIN,Plaza Indonesia Realty Tbk.,2510.0,0.0,0.0,0.0,2510.0,0.0,0.0,0.0,0.0,0.0,0.0
PMJS,Putra Mandiri Jembar Tbk.,145.0,148.0,149.0,142.0,143.0,-2.0,1077300.0,155965900.0,157.0,37400.0,4100.0
PMMP,Panca Mitra Multiperdana Tbk.,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
PMUI,Prima Multi Usaha Indonesia Tbk.,105.0,105.0,106.0,103.0,104.0,-1.0,1496000.0,155381900.0,237.0,114700.0,10500.0
PNBN,Bank Pan Indonesia Tbk,860.0,860.0,870.0,850.0,860.0,0.0,1262100.0,1081994500.0,433.0,43800.0,153400.0
PNBS,Bank Panin Dubai Syariah Tbk.,50.0,50.0,50.0,50.0,50.0,0.0,62700.0,3135000.0,11.0,0.0,0.0
PNGO,AEP Pinago Plantations Tbk.,3520.0,0.0,3520.0,3520.0,3520.0,0.0,1400.0,4928000.0,1.0,0.0,0.0
